,panelist_id,home_state,home_state_county,city_name,postal_code,dfrw_cap_mean,gender,age,edu_level,ethnicity,is_hispanic,occupational_status,hh_income,hh_income_mid,hh_size
135,EMBUSA-1760607,FL,"('FL', 'Hillsborough')",Palm Harbor,34684,15568.898745592263,MALE,57.0,University/College,White,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
136,EMBUSA-1760815,OR,"('OR', 'Multnomah')",Hillsboro,97006,24547.400890547262,MALE,55.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
137,EMBUSA-1762543,TX,"('TX', 'Bexar')",Corpus Christi,78408,8621.198406141033,MALE,39.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
138,EMBUSA-1766310,NJ,"('NJ', 'Salem')",Elk,08062,10531.86,MALE,48.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
139,EMBUSA-1773703,CA,"('CA', 'San Joaquin')",Stockton,95210,15782.500999999998,MALE,34.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
140,EMBUSA-1775397,TX,"('TX', 'Kaufman')",Forney,75126,36436.68000000001,MALE,35.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,6
141,EMBUSA-1776707,MI,"('MI', 'Ottawa')",Walker,49534,9333.149073499157,MALE,48.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,1
142,EMBUSA-1777770,MA,"('MA', 'Middlesex')",Fitchburg,01420,32312.2253078759,FEMALE,31.0,University/College,Decline to answer,Decline to answer,Full-time work,"$100,000 - $149,999 USD",125000,3
143,EMBUSA-1780041,IL,"('IL', 'Scott')",Winchester,62694,29094.877419402674,MALE,35.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,6
144,EMBUSA-1787402,NJ,"('NJ', 'Camden')",Lindenwold,08021,9571.761,FEMALE,35.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
145,EMBUSA-1789289,MI,"('MI', 'Macomb')",Warren,48089,22540.252000000004,FEMALE,27.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
146,EMBUSA-1802023,IA,"('IA', 'Osceola')",Ashton,51232,20908.494268356648,FEMALE,41.0,University/College,Decline to answer,Decline to answer,Full-time work,"$15,000 - $24,999 USD",20000,7
147,EMBUSA-1803245,FL,"('FL', 'Lee')",Miami,33169,721.2884999999999,MALE,26.0,None completed,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
148,EMBUSA-1805633,MA,"('MA', 'Suffolk')",Boston,02124,4524.641370797547,MALE,47.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
149,EMBUSA-1806995,GA,"('GA', 'Cobb')",Atlanta,30318,29756.172258485778,FEMALE,33.0,Postgraduate Education,Black or African American,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
150,EMBUSA-1812994,MI,"('MI', 'Alpena')",Alpena,49707,1481.2255999999998,FEMALE,32.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
151,EMBUSA-1813145,AR,"('AR', 'Craighead')",Jonesboro,72401,7253.428057619047,FEMALE,38.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
152,EMBUSA-1816025,WI,"('WI', 'Wood')",Arkdale,54613,4453.713895137681,MALE,50.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
153,EMBUSA-1817628,VA,"('VA', 'Bedford')",Hagerstown,21740,18963.303000805798,MALE,38.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,1
154,EMBUSA-1819521,OH,"('OH', 'Clinton')",Wilmington,45177,48200.567196060874,MALE,42.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
155,EMBUSA-1821410,WI,"('WI', 'Waushara')",Plainfield,54966,16860.88647457249,FEMALE,45.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,1
156,EMBUSA-1825732,GA,"('GA', 'Fulton')",Riverside,64150,7456.880205802269,FEMALE,24.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
157,EMBUSA-1835052,PA,"('PA', 'Butler')",Butler,16001,16538.127000000008,MALE,33.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
158,EMBUSA-1836367,MA,"('MA', 'Norfolk')",Weymouth,02190,19370.267077072313,MALE,52.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,5
159,EMBUSA-1842385,OH,"('OH', 'Trumbull')",Garfield Heights,44125,80176.2,FEMALE,50.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
160,EMBUSA-1843328,LA,"('LA', 'Orleans')",,,5728.084499999998,FEMALE,35.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
161,EMBUSA-1843534,FL,"('FL', 'Orange')",Belle Isle,32812,2830.502376027264,MALE,37.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
162,EMBUSA-1849153,DE,"('DE', 'New Castle')",Wilmington,19802,13443.810328865353,MALE,41.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
163,EMBUSA-1851119,CO,"('CO', 'Boulder')",Lafayette,80026,7087.27668986711,FEMALE,29.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
164,EMBUSA-1854823,CA,"('CA', 'San Diego')",Lakeside,92040,20730.073999999997,FEMALE,31.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
165,EMBUSA-1856573,NJ,"('NJ', 'Mercer')",Matawan,07747,41465.19911825727,MALE,39.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
166,EMBUSA-1862899,IL,"('IL', 'Cook')",Elk Grove Village,60007,18815.043000000005,FEMALE,55.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
167,EMBUSA-1867699,CA,"('CA', 'Lassen')",Mineral,96063,18614.88596176755,MALE,45.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
168,EMBUSA-1867893,MS,"('MS', 'Harrison')",Biloxi,39532,13101.876000000002,MALE,52.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
169,EMBUSA-1874533,WA,"('WA', 'Snohomish')",Everett,98201,13477.33512626532,MALE,26.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
170,EMBUSA-1876026,MN,"('MN', 'Hennepin')",Minneapolis,55427,3143.989034453564,MALE,33.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
171,EMBUSA-1878222,MI,"('MI', 'Wayne')",Flat Rock,48134,16700.003822460578,FEMALE,32.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
172,EMBUSA-1886051,CA,"('CA', 'Contra Costa')",Bay Point,94565,36283.241999999984,FEMALE,38.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,6
173,EMBUSA-1892799,CT,"('CT', 'New London')",Norwich,06380,29447.54166407118,MALE,28.0,High School,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
174,EMBUSA-1896106,TN,"('TN', 'Sullivan')",Jacksonville,32246,8263.582658577989,FEMALE,30.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
175,EMBUSA-1908497,WI,"('WI', 'Milwaukee')",Franklin,53132,5698.124386107165,FEMALE,49.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
176,EMBUSA-1915510,MI,"('MI', 'Saginaw')",Saginaw,48601,4244.386700000001,FEMALE,40.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
177,EMBUSA-1915776,CA,"('CA', 'Solano')",Fairfield,94533,2560.5083000000004,FEMALE,39.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
178,EMBUSA-1915938,CA,"('CA', 'Los Angeles')",Paramount,90723,8185.908000000001,MALE,49.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
179,EMBUSA-1916450,MI,"('MI', 'Allegan')",Allegan,49010,6524.111360390946,FEMALE,26.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,3
180,EMBUSA-1916839,CA,"('CA', 'Contra Costa')",Pittsburg,94565,11429.356999999998,MALE,42.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
181,EMBUSA-1917607,NC,"('NC', 'Wake')",Garner,27529,20653.98,MALE,38.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
182,EMBUSA-1919501,CO,"('CO', 'Adams')",Aurora,80011,2024.8017751709756,FEMALE,43.0,High School,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
183,EMBUSA-1920612,NH,"('NH', 'Belknap')",Mansfield,06250,8445.66937904509,MALE,38.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
184,EMBUSA-1924685,OH,"('OH', 'Cuyahoga')",Pepper Pike,44124,13901.092515332837,FEMALE,53.0,University/College,Native American or Alaskan native,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,4
185,EMBUSA-1925210,MA,"('MA', 'Worcester')",Lancaster,01523,7795.713399999997,FEMALE,58.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,1
186,EMBUSA-1925395,NV,"('NV', 'Clark')",Las Vegas,89149,20859.611,MALE,41.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
187,EMBUSA-1925413,IN,"('IN', 'Gibson')",Oakland City,47660,19861.76925498008,MALE,51.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
188,EMBUSA-1925618,PA,"('PA', 'Allegheny')",Pittsburgh,15229,5824.182080456157,MALE,34.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
189,EMBUSA-1926068,GA,"('GA', 'Hall')",Flowery Branch,30542,12633.27062377544,MALE,55.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
190,EMBUSA-1926289,FL,"('FL', 'Charlotte')",Sarasota,34237,5154.874570167785,FEMALE,37.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
191,EMBUSA-1926377,WA,"('WA', 'King')",Renton,98058,32724.28429980797,MALE,31.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
192,EMBUSA-1930499,MD,"('MD', 'Calvert')",Waldorf,20601,32822.1973374613,FEMALE,35.0,High School,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,7
193,EMBUSA-1933492,IA,"('IA', 'Johnson')",Iowa City,52246,1309.416829049505,MALE,19.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
194,EMBUSA-1936713,OH,"('OH', 'Hamilton')",Cincinnati,45216,18590.49157264687,MALE,42.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,6
195,EMBUSA-1937046,MO,"('MO', 'Johnson')",Warrensburg,64093,56735.27993099482,FEMALE,59.0,University/College,Native American or Alaskan native,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
196,EMBUSA-1938689,FL,"('FL', 'Pinellas')",Boston,02134,24701.219824957043,MALE,27.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
197,EMBUSA-1940134,AZ,"('AZ', 'Maricopa')",Phoenix,85022,10537.878391798142,FEMALE,35.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
198,EMBUSA-1940194,CA,"('CA', 'Contra Costa')",Pittsburg,94565,4095.559111027778,MALE,49.0,University/College,Mixed racial background,"Yes, of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
199,EMBUSA-1941235,TX,"('TX', 'Kleberg')",Kingsville,78363,3298.604200000001,MALE,39.0,High School,White,"Yes, of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
200,EMBUSA-1943115,FL,"('FL', 'Orange')",St. Augustine,32092,15216.15759153318,MALE,35.0,University/College,White,"Yes, of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
201,EMBUSA-1943542,FL,"('FL', 'Seminole')",Winter Springs,32708,21896.447171947224,FEMALE,41.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,6
202,EMBUSA-1947496,WI,"('WI', 'Kenosha')",Silver Lake,53170,35742.581292042036,MALE,50.0,High School,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,5
203,EMBUSA-1947687,AL,"('AL', 'Baldwin')",Oregon City,97045,23141.526958974362,MALE,53.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
204,EMBUSA-1947819,TX,"('TX', 'Fort Bend')",Missouri City,77489,35235.22573061225,FEMALE,51.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,3
205,EMBUSA-1960656,WA,"('WA', 'Snohomish')",Marysville,98270,14119.958126718671,MALE,36.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
206,EMBUSA-1960807,FL,"('FL', 'Broward')",Pembroke Pines,33029,15047.137739313597,MALE,53.0,High School,White,"Yes, of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,4
207,EMBUSA-1962092,IL,"('IL', 'Madison')",Granite City,62040,2409.011607327141,MALE,31.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
208,EMBUSA-1966448,IL,"('IL', 'Cook')",Chicago,60629,4490.243000000001,MALE,48.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,3
209,EMBUSA-1968472,FL,"('FL', 'Polk')",Polk City,33868,12867.894611385356,MALE,40.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
210,EMBUSA-1969611,CA,"('CA', 'Mendocino')",Fort Bragg,95437,1549.4047057753164,MALE,45.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
211,EMBUSA-1970872,MO,"('MO', 'Jackson')",Grain Valley,64029,3826.715384620501,FEMALE,36.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
212,EMBUSA-1971573,IA,"('IA', 'Linn')",Cedar Rapids,52403,3984.0732,FEMALE,36.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
213,EMBUSA-1981210,VA,"('VA', 'Virginia Beach city')",Virginia Beach,23453,3355.0388152142855,FEMALE,49.0,University/College,Other race,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
214,EMBUSA-1981583,MI,"('MI', 'Ingham')",Lansing,48911,3249.399978368794,MALE,31.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
215,EMBUSA-1982687,GA,"('GA', 'DeKalb')",Stone Mountain,30087,11860.973323232321,MALE,37.0,University/College,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
216,EMBUSA-1983002,WI,"('WI', 'Dodge')",Beaver Dam,53916,43119.9993807502,FEMALE,47.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,5
217,EMBUSA-1983142,VA,"('VA', 'Henrico')",Glen Allen,23060,55879.47183670937,MALE,41.0,University/College,Decline to answer,Decline to answer,Full-time work,"$200,000 USD or more",250000,4
218,EMBUSA-1985010,CT,"('CT', 'Hartford')",East Hartford,06118,8505.133054183283,FEMALE,33.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
219,EMBUSA-1985071,GA,"('GA', 'Rockdale')",Conyers,30012,32841.13605917159,FEMALE,27.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
220,EMBUSA-1990110,CA,"('CA', 'San Diego')",San Diego,92037,11130.847326209689,FEMALE,43.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,1
221,EMBUSA-1992411,FL,"('FL', 'Manatee')",Bradenton,34207,7645.7279467358485,FEMALE,42.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
222,EMBUSA-1995911,GA,"('GA', 'DeKalb')",Atlanta,30312,14248.122896457766,MALE,46.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
223,EMBUSA-1997137,TX,"('TX', 'Harris')",Houston,77088,3685.174678284519,MALE,33.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
224,EMBUSA-1999908,IL,"('IL', 'Winnebago')",Rockford,61108,3116.772317634417,FEMALE,27.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,3
225,EMBUSA-2000971,CA,"('CA', 'Sacramento')",Sacramento,95825,12679.678671198842,MALE,34.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
226,EMBUSA-2001594,MO,"('MO', 'St. Charles')",Wentzville,63385,2717.9146,FEMALE,60.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
227,EMBUSA-2001661,WA,"('WA', 'Grant')",Ephrata,98823,23088.771000000004,MALE,43.0,High School,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
228,EMBUSA-2004438,OK,"('OK', 'Cleveland')",Oklahoma City,73170,7022.335732115127,MALE,36.0,Postgraduate Education,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
229,EMBUSA-2005271,TX,"('TX', 'Tarrant')",Fort Worth,76244,17821.223903027218,MALE,38.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,4
230,EMBUSA-2006225,CT,"('CT', 'Fairfield')",Bridgeport,06605,5386.506999999998,FEMALE,59.0,University/College,Black or African American,"Yes, of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
231,EMBUSA-2006703,TX,"('TX', 'Dallas')",Mesquite,75149,30102.35182033753,MALE,36.0,High School,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
232,EMBUSA-2006973,OH,"('OH', 'Stark')",Alliance,44601,1383.0836562258953,FEMALE,28.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
233,EMBUSA-2007309,WI,"('WI', 'Milwaukee')",South Milwaukee,53172,4851.0586,FEMALE,26.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,6
234,EMBUSA-2007603,AZ,"('AZ', 'Maricopa')",Queen Creek,85142,24926.804662330032,MALE,43.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
235,EMBUSA-2007814,IN,"('IN', 'Lake')",Hammond,46323,27135.084468752495,FEMALE,44.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
236,EMBUSA-2007938,CA,"('CA', 'Los Angeles')",Monterey Park,91754,5579.633940035834,MALE,50.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,4
237,EMBUSA-2008264,TX,"('TX', 'Bexar')",San Antonio,78244,13512.9375,FEMALE,42.0,High School,Black or African American,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
238,EMBUSA-2008809,MO,"('MO', 'Clay')",Kansas City,64118,11997.457197912385,FEMALE,43.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
239,EMBUSA-2009661,MI,"('MI', 'Wayne')",Brownstown Charter Township,48193,14046.515316442812,MALE,38.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
240,EMBUSA-2009684,WI,"('WI', 'St. Croix')",New Richmond,54017,555.8234000000001,FEMALE,30.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
241,EMBUSA-2010315,IA,"('IA', 'Wapello')",Ottumwa,52501,4386.529000000001,FEMALE,37.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
242,EMBUSA-2011735,OK,"('OK', 'Oklahoma')",Oklahoma City,73132,17614.557000000004,MALE,58.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
243,EMBUSA-2021801,WA,"('WA', 'Benton')",Benton City,99320,20285.143000000004,MALE,33.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
244,EMBUSA-2022500,TX,"('TX', 'Harris')",Houston,77008,13026.21269801955,FEMALE,40.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
245,EMBUSA-2029111,CA,"('CA', 'San Diego')",San Diego,92105,42203.34780707396,MALE,44.0,Compulsory school,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
246,EMBUSA-2031072,TX,"('TX', 'Denton')",,,34835.88125364432,MALE,44.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
247,EMBUSA-2033855,UT,"('UT', 'Salt Lake')",Fort Collins,80526,5597.671842465754,MALE,34.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
248,EMBUSA-2034896,MD,"('MD', 'Baltimore')",Woodlawn,21244,14228.06,MALE,29.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,2
249,EMBUSA-2035680,MA,"('MA', 'Bristol')",Taunton,02718,31716.10200000001,MALE,28.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
250,EMBUSA-2040745,FL,"('FL', 'Hillsborough')",Lutz,33549,15386.363254856675,FEMALE,43.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
251,EMBUSA-2040862,TN,"('TN', 'Campbell')",Mckinney,75069,15513.70317552817,MALE,25.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
252,EMBUSA-2042501,AZ,"('AZ', 'Maricopa')",Phoenix,85035,3382.7501491708726,MALE,25.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
253,EMBUSA-2042518,TN,"('TN', 'Montgomery')",Woodlawn,37191,23185.17198073217,MALE,53.0,High School,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,4
254,EMBUSA-2045253,TX,"('TX', 'Hidalgo')",Edinburg,78541,5623.919779226805,MALE,34.0,University/College,White,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
255,EMBUSA-2053037,NJ,"('NJ', 'Burlington')",Newport News,23604,6554.817124810218,FEMALE,41.0,University/College,Decline to answer,"No, not of Hispanic origin",Full-time work,"$150,000 - $199,999 USD",175000,3
256,EMBUSA-2057200,OR,"('OR', 'Multnomah')",Gresham,97030,15917.933000000003,FEMALE,40.0,High School,White,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,5
257,EMBUSA-2058533,RI,"('RI', 'Providence')",Providence,02908,3473.8503501420014,MALE,37.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,5
258,EMBUSA-2058868,PA,"('PA', 'Berks')",Wernersville,19565,14610.451971122995,MALE,35.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
259,EMBUSA-2058956,MI,"('MI', 'Mecosta')",,,15793.18982069672,FEMALE,42.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
260,EMBUSA-2059879,AZ,"('AZ', 'Maricopa')",Tempe,85281,14685.335495055137,MALE,32.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
261,EMBUSA-2060918,MI,"('MI', 'Ottawa')",Grand Rapids,49508,9510.380219412724,FEMALE,27.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
262,EMBUSA-2064664,RI,"('RI', 'Kent')",East Greenwich,02818,39028.46000000001,FEMALE,34.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
263,EMBUSA-2064859,IN,"('IN', 'LaPorte')",Westville,46391,18590.127049798113,FEMALE,41.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
264,EMBUSA-2066628,VA,"('VA', 'Northumberland')",Callao,22435,1931.8119369331257,FEMALE,52.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
265,EMBUSA-2067349,TX,"('TX', 'Travis')",Bee Cave,78738,16395.166187307455,FEMALE,50.0,University/College,Mixed racial background,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
266,EMBUSA-2069269,NE,"('NE', 'Gage')",Beatrice,68310,2726.8101452054793,FEMALE,57.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
267,EMBUSA-2069361,WA,"('WA', 'Pierce')",Puyallup,98375,15075.451780747953,FEMALE,24.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,1
268,EMBUSA-2070102,MD,"('MD', 'Charles')",Waldorf,20601,19550.22771428572,MALE,59.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$200,000 USD or more",250000,5
269,EMBUSA-2070463,NJ,"('NJ', 'Essex')",Maple Shade Township,08052,16858.6624338725,FEMALE,27.0,High School,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
270,EMBUSA-2071237,TX,"('TX', 'Nueces')",Corpus Christi,78412,11812.201124792013,MALE,67.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
